N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
24,SK,"268,000","3,000",+1.13%,200,"188,566","70,360",19.61,"151,333",17.30,1.11,
25,HMM,"38,650",650,-1.65%,"5,000","156,684","405,392",9.63,"3,848,519",24.48,8.93,
26,한국전력,"23,950",200,+0.84%,"5,000","153,750","641,964",15.23,"1,227,162",12.90,2.91,
27,LG,"95,300","1,100",-1.14%,"5,000","149,908","157,301",33.38,"145,927",5.97,7.50,
28,삼성생명,"74,700",100,+0.13%,500,"149,400","200,000",12.96,"171,377",8.53,3.53,
29,SK아이이테크놀로지,"208,000","1,000",-0.48%,"1,000","148,299","71,298",9.17,"137,435",136.75,11.00,
30,엔씨소프트,"633,000","11,000",+1.77%,500,"138,969","21,954",47.46,"311,149",33.98,20.83,
31,삼성전기,"183,000","1,500",-0.81%,"5,000","136,689","74,694",32.59,"204,994",15.95,10.92,
32,삼성에스디에스,"172,500","1,000",+0.58%,500,"133,477","77,378",11.65,"51,222",20.72,6.71,
33,아모레퍼시픽,"226,000","1,500",+0.67%,500,"132,116","58,458",33.46,"110,565",104.87,0.78,
34,하나금융지주,"44,000",650,-1.46%,"5,000","132,106","300,242",68.18,"695,458",4.34,8.96,
35,포스코케미칼,"150,000","1,000",-0.66%,500,"116,195","77,463",7.89,"164,072",108.38,2.96,
36,두산중공업,"21,850",100,+0.46%,"5,000","112,747","516,006",9.27,"3,172,965",-51.90,-37.20,
37,KT&G,"81,800",100,-0.12%,"5,000","112,305","137,292",37.21,"242,048",10.14,13.22,
38,하이브,"286,500","5,500",+1.96%,500,"111,881","39,051",16.58,"128,925",101.92,12.52,
39,대한항공,"31,200",0,0.00%,"5,000","108,520","347,821",11.48,"1,081,680",16.24,-7.22,
40,넷마블,"126,000",0,0.00%,100,"108,301","85,954",22.61,"106,840",37.85,6.35,
41,삼성화재,"227,500","1,500",-0.66%,500,"107,778","47,375",48.69,"52,353",10.78,4.96,
42,S-Oil,"92,300",400,-0.43%,"2,500","103,914","112,583",78.09,"119,343",11.87,-13.07,
43,고려아연,"518,000","1,000",+0.19%,"5,000","97,747","18,870",20.08,"23,381",13.52,8.37,
44,SK바이오팜,"121,500","3,500",-2.80%,500,"95,151","78,313",6.78,"179,198",-160.71,-135.18,
45,한온시스템,"16,200",300,-1.82%,100,"86,476","533,800",18.01,"473,877",29.72,5.09,
46,롯데케미칼,"248,500",500,-0.20%,"5,000","85,174","34,275",26.90,"65,296",7.12,1.22,
47,KT,"32,600",300,-0.91%,"5,000","85,122","261,112",44.20,"613,082",9.31,4.76,
48,우리금융지주,"11,100",150,-1.33%,"5,000","80,815","728,061",28.41,"2,175,207",3.88,5.87,
49,한국조선해양,"114,000",500,+0.44%,"5,000","80,681","70,773",18.56,"309,948",-5.21,-7.42,
50,한화솔루션,"40,600","1,700",+4.37%,"5,000","77,659","191,278",17.11,"1,647,735",10.07,5.30,
51,기업은행,"10,350",50,-0.48%,"5,000","77,035","744,301",13.00,"648,173",4.35,6.44,
52,LG디스플레이,"20,500",450,-2.15%,"5,000","73,352","357,816",17.00,"2,928,521",6.17,-0.79,
53,현대글로비스,"190,000",0,0.00%,500,"71,250","37,500",34.69,"56,174",10.57,12.45,
54,현대제철,"50,900",0,0.00%,"5,000","67,924","133,446",20.76,"375,650",28.12,-2.59,
55,CJ제일제당,"442,000","2,500",-0.56%,"5,000","66,540","15,054",24.40,"19,438",15.41,13.50,
56,LG유플러스,"14,300",100,-0.69%,"5,000","62,435","436,611",33.17,"767,643",10.78,6.46,
57,금호석유,"200,000","8,000",+4.17%,"5,000","60,935","30,468",19.95,"458,765",4.74,20.18,
58,현대건설,"54,500",500,-0.91%,"5,000","60,689","111,356",20.88,"310,580",49.19,1.84,
59,강원랜드,"28,150",200,-0.71%,500,"60,224","213,940",19.58,"884,673",-63.98,-7.92,
60,한국타이어앤테크놀로지,"46,450",300,+0.65%,500,"57,540","123,875",41.68,"78,867",9.33,5.12,
61,코웨이,"77,600",0,0.00%,500,"57,268","73,800",59.72,"98,766",13.44,31.51,
62,SKC,"151,000",500,+0.33%,"5,000","57,181","37,868",12.73,"254,722",131.30,2.21,
63,미래에셋증권,"8,870",10,-0.11%,"5,000","56,353","635,316",13.87,"791,775",6.74,8.94,
64,F&F,"728,000","13,000",-1.75%,500,"55,775","7,661",10.80,"32,089",N/A,N/A,
65,KODEX 200,"42,075",145,+0.35%,0,"55,371","131,600",3.78,"2,749,789",N/A,N/A,
66,LG이노텍,"226,500","1,000",+0.44%,"5,000","53,606","23,667",28.86,"357,969",9.81,10.20,
67,현대중공업지주,"65,800",500,+0.77%,"1,000","51,977","78,993",17.59,"166,832",-15.20,-8.12,
68,한국금융지주,"92,400",800,-0.86%,"5,000","51,491","55,726",34.86,"152,624",4.39,16.27,
69,맥쿼리인프라,"12,600",0,0.00%,0,"51,011","404,846",14.77,"566,363",N/A,N/A,
70,한미사이언스,"75,500","1,000",+1.34%,500,"50,815","67,305",1.49,"107,983",166.30,3.47,
71,오리온,"125,000",0,0.00%,500,"49,420","39,536",39.54,"62,398",20.50,15.50,
72,이마트,"176,000","3,000",-1.68%,"5,000","49,061","27,876",35.43,"122,764",8.69,4.05,
73,에스디바이오센서,"45,950","1,200",-2.55%,500,"47,453","103,271",2.38,"656,925",6.97,139.97,
74,삼성엔지니어링,"23,950",50,+0.21%,"5,000","46,942","196,000",33.04,"1,541,678",14.87,17.32,
75,아모레G,"56,800",200,-0.35%,500,"46,836","82,458",17.10,"88,739",36.18,0.31,
76,메리츠금융지주,"33,900","1,250",+3.83%,500,"45,430","134,011",8.06,"181,218",7.34,16.06,
77,유한양행,"64,500",100,-0.15%,"1,000","45,133","69,973",17.96,"162,098",46.91,11.06,
78,녹십자,"385,500","4,500",-1.15%,"5,000","45,052","11,687",21.53,"123,730",48.20,7.48,
79,삼성증권,"49,200",100,+0.20%,"5,000","43,936","89,300",30.00,"188,518",4.81,9.89,
80,한진칼,"65,400",200,+0.31%,"2,500","43,647","66,739",14.78,"60,777",-44.64,-19.55,
81,두산밥캣,"42,700",50,+0.12%,500,"42,806","100,249",25.88,"155,744",11.23,6.15,
82,DB손해보험,"60,400",400,+0.67%,500,"42,763","70,800",42.92,"49,164",6.19,9.08,
83,쌍용C&E,"8,420",30,+0.36%,100,"42,425","503,860",3.67,"568,087",27.16,7.92,
84,팬오션,"7,560",240,-3.08%,"1,000","40,413","534,570",11.48,"6,373,973",23.19,3.25,
85,삼성카드,"34,200",150,-0.44%,"5,000","39,624","115,859",8.25,"83,908",8.65,5.69,
86,삼성중공업,"6,250",20,-0.32%,"1,000","39,375","630,000",14.04,"2,221,394",-2.56,-33.06,
87,KCC,"442,500","57,500",+14.94%,"5,000","39,323","8,886",12.88,"289,933",4.61,12.79,
88,CJ대한통운,"171,500",500,+0.29%,"5,000","39,123","22,812",22.79,"18,355",112.39,3.89,
89,GS,"41,950",0,0.00%,"5,000","38,978","92,915",19.26,"120,314",4.77,-2.82,
90,GS건설,"45,400",150,+0.33%,"5,000","38,854","85,581",26.47,"687,720",11.98,7.68,
91,한미약품,"310,500","2,500",-0.80%,"2,500","37,503","12,078",13.08,"16,671",162.40,1.65,
92,메리츠증권,"5,500",70,-1.26%,"1,000","37,495","681,731",14.04,"1,734,858",5.86,13.08,
93,NH투자증권,"13,300",0,0.00%,"5,000","37,427","281,409",18.61,"283,936",4.74,10.32,
94,롯데지주,"35,550",100,+0.28%,200,"37,295","104,909",8.24,"80,688",50.79,-3.03,
95,현대차2우B,"100,500",500,-0.50%,"5,000","36,668","36,485",60.97,"72,939",7.28,N/A,
96,신풍제약,"68,700","1,000",-1.43%,500,"36,401","52,985",8.59,"686,083","1,145.00",1.72,
97,GS리테일,"34,400",100,+0.29%,"1,000","36,023","104,718",10.38,"262,107",18.88,7.50,
98,한화시스템,"19,000",150,+0.80%,"5,000","35,895","188,919",3.27,"844,380",20.61,9.35,
99,메리츠화재,"29,500",300,+1.03%,500,"35,584","120,625",10.89,"129,786",6.73,16.91,
100,호텔신라,"89,300",100,+0.11%,"5,000","35,049","39,248",17.97,"188,159",-27.16,-36.74,
101,한국가스공사,"37,700","2,100",+5.90%,"5,000","34,802","92,313",6.37,"1,203,449",13.81,-2.24,
102,두산퓨얼셀,"53,000",400,+0.76%,100,"34,712","65,494",14.04,"899,106",883.33,4.18,
103,일진머티리얼즈,"75,200","1,200",+1.62%,500,"34,675","46,111",9.63,"272,850",72.87,7.23,
104,한솔케미칼,"304,000","3,500",-1.14%,"5,000","34,459","11,335",41.68,"42,741",24.20,24.50,
105,씨에스윈드,"79,400",800,+1.02%,500,"33,484","42,171",10.76,"381,861",56.31,8.19,
106,OCI,"139,000","10,500",+8.17%,"5,000","33,151","23,849",17.60,"1,175,850",114.50,-9.89,
107,현대오토에버,"117,000","2,500",-2.09%,500,"32,086","27,424",1.61,"76,094",42.21,11.09,
108,SK케미칼,"272,000","6,000",-2.16%,"5,000","31,964","11,751",16.00,"107,405",34.56,30.49,
109,효성티앤씨,"734,000","2,000",+0.27%,"5,000","31,765","4,328",22.46,"20,695",6.28,25.10,
110,한국항공우주,"32,500",100,+0.31%,"5,000","31,679","97,475",13.53,"220,633",160.89,6.39,
